DateTime;Parking Granollers Renfe plazas totales
16/01/2020 8:00;65,49226661
16/01/2020 8:30;56,91340688
16/01/2020 9:00;47,26880772
16/01/2020 9:30;44,8484
16/01/2020 10:00;44,8484
16/01/2020 10:30;44,8484
16/01/2020 11:00;44,75321061
16/01/2020 11:30;43,06475933
16/01/2020 12:00;41,04703205
16/01/2020 12:30;39,65916288
16/01/2020 13:00;35,52416173
16/01/2020 13:30;35,04377484
16/01/2020 14:00;36,68956051
16/01/2020 14:30;39,00353068
16/01/2020 15:00;42,30419507
16/01/2020 15:30;52,73690813
16/01/2020 16:00;64,83059014
16/01/2020 16:30;68,37514408
16/01/2020 17:00;69,78750704
16/01/2020 17:30;76,81217928
16/01/2020 18:00;89,18500799
16/01/2020 18:30;100,4204926
16/01/2020 19:00;112,404499
16/01/2020 19:30;120,1360952
16/01/2020 20:00;131,5128635
16/01/2020 20:30;143,1515447
16/01/2020 21:00;152,4784588
16/01/2020 21:30;156,2310539
16/01/2020 22:00;160,1538192
16/01/2020 22:30;160,3272
16/01/2020 23:00;161,2210725
16/01/2020 23:30;162,1201852
17/01/2020 0:00;163,3356
17/01/2020 0:30;163,3356
17/01/2020 1:00;163,3356
17/01/2020 1:30;163,3356
17/01/2020 2:00;163,3356
17/01/2020 2:30;163,3356
17/01/2020 3:00;162,8292052
17/01/2020 3:30;162,3384
17/01/2020 4:00;162,3384
17/01/2020 4:30;162,1454097
17/01/2020 5:00;161,3412
17/01/2020 5:30;159,3709466
17/01/2020 6:00;154,221161
17/01/2020 6:30;165,3500585
17/01/2020 7:00;144,9452404
17/01/2020 7:30;120,5231426
17/01/2020 8:00;103,6979949
17/01/2020 8:30;93,99102573
17/01/2020 9:00;87,89153423
17/01/2020 9:30;87,2828
17/01/2020 10:00;84,35758913
17/01/2020 10:30;56,07494418
17/01/2020 11:00;55,0084
17/01/2020 11:30;54,73841142
17/01/2020 12:00;54,55718914
17/01/2020 12:30;54,96259949
17/01/2020 13:00;52,78601073
17/01/2020 13:30;51,3417682
17/01/2020 14:00;54,76169615
17/01/2020 14:30;60,23992848
17/01/2020 15:00;70,67039962
17/01/2020 15:30;85,75175589
17/01/2020 16:00;100,365202
17/01/2020 16:30;109,6590565
17/01/2020 17:00;113,1976512
17/01/2020 17:30;120,961736
17/01/2020 18:00;130,8411584
17/01/2020 18:30;136,9068802
17/01/2020 19:00;139,3924567
17/01/2020 19:30;139,5138453
17/01/2020 20:00;148,7151003
17/01/2020 20:30;151,2026342
17/01/2020 21:00;157,5355848
17/01/2020 21:30;161,0804766
