DateTime;Parking Prat del Ll. plazas totales
13/01/2020 2:00;447
13/01/2020 2:30;447,878345
13/01/2020 3:00;447,8577078
13/01/2020 3:30;448,4655578
13/01/2020 4:00;449,9656533
13/01/2020 4:30;447,6320367
13/01/2020 5:00;444,4745839
13/01/2020 5:30;435,3692967
13/01/2020 6:00;427,3675994
13/01/2020 6:30;415,22249
13/01/2020 7:00;391,99981
13/01/2020 7:30;364,5018583
13/01/2020 8:00;336,4597961
13/01/2020 8:30;315,9873517
13/01/2020 9:00;300,9388006
13/01/2020 9:30;293,3443294
13/01/2020 10:00;290,9957922
13/01/2020 10:30;286,6736356
13/01/2020 11:00;284,5093133
13/01/2020 11:30;286,0564
13/01/2020 12:00;284,2507911
13/01/2020 12:30;289,9270111
13/01/2020 13:00;299,2051778
13/01/2020 13:30;306,14557
13/01/2020 14:00;308,0716567
13/01/2020 14:30;318,6454006
13/01/2020 15:00;323,9519517
13/01/2020 15:30;333,3560061
13/01/2020 16:00;348,7657378
13/01/2020 16:30;347,3524567
13/01/2020 17:00;344,0504278
13/01/2020 17:30;351,9885028
13/01/2020 18:00;369,8848328
13/01/2020 18:30;387,3735039
13/01/2020 19:00;401,348465
13/01/2020 19:30;415,6896694
13/01/2020 20:00;432,2755567
13/01/2020 20:30;443,3404967
13/01/2020 21:00;452,5517839
13/01/2020 21:30;459,7995539
13/01/2020 22:00;462
13/01/2020 22:30;462
13/01/2020 23:00;462
13/01/2020 23:30;462
14/01/2020 0:00;462
14/01/2020 0:30;462
14/01/2020 1:00;462
14/01/2020 1:30;462
14/01/2020 2:00;462
14/01/2020 2:30;462
14/01/2020 3:00;462
14/01/2020 3:30;462
14/01/2020 4:00;462
14/01/2020 4:30;462
14/01/2020 5:00;462
14/01/2020 5:30;462
14/01/2020 6:00;462
14/01/2020 6:30;461,9979022
14/01/2020 7:00;446,8736322
14/01/2020 7:30;423,3746394
14/01/2020 8:00;394,0717839
14/01/2020 8:30;374,6443017
14/01/2020 9:00;361,31704
14/01/2020 9:30;349,4297471
14/01/2020 10:00;347,0597329
14/01/2020 10:30;340,738727
14/01/2020 11:00;337,275756
14/01/2020 11:30;336,6560982
14/01/2020 12:00;334,3030406
14/01/2020 12:30;342,1172224
14/01/2020 13:00;344,8661591
14/01/2020 13:30;340,026396
14/01/2020 14:00;342,6600832
14/01/2020 14:30;352,1390331
14/01/2020 15:00;356,1969527
14/01/2020 15:30;372,49393
14/01/2020 16:00;388,2510138
14/01/2020 16:30;383,4273555
14/01/2020 17:00;380,4782086
14/01/2020 17:30;392,2228599
14/01/2020 18:00;397,8593333
14/01/2020 18:30;410,8229239
14/01/2020 19:00;427,7378572
14/01/2020 19:30;442,5303517
14/01/2020 20:00;450,8418329
14/01/2020 20:30;461,3451025
14/01/2020 21:00;462
14/01/2020 21:30;462
14/01/2020 22:00;462
14/01/2020 22:30;462
14/01/2020 23:00;462
14/01/2020 23:30;462
15/01/2020 0:00;462
15/01/2020 0:30;462
15/01/2020 1:00;462
15/01/2020 1:30;462
15/01/2020 2:00;462
15/01/2020 2:30;462
15/01/2020 3:00;462
15/01/2020 3:30;462
15/01/2020 4:00;462
15/01/2020 4:30;462
15/01/2020 5:00;462
15/01/2020 5:30;462
15/01/2020 6:00;462
15/01/2020 6:30;462
15/01/2020 7:00;459,7325341
15/01/2020 7:30;433,9187815
15/01/2020 8:00;394,9313807
15/01/2020 8:30;365,7223079
15/01/2020 9:00;345,8974064
15/01/2020 9:30;339,7421005
15/01/2020 10:00;337,7338051
15/01/2020 10:30;336,9134713
15/01/2020 11:00;247,8432549
15/01/2020 11:30;263,9601082
15/01/2020 12:00;260,0278554
15/01/2020 12:30;259,1815138
15/01/2020 13:00;263,0443584
15/01/2020 13:30;264,8841651
15/01/2020 14:00;266,4080005
15/01/2020 14:30;274,5279877
15/01/2020 15:00;281,7793466
15/01/2020 15:30;294,9664784
15/01/2020 16:00;304,1648811
15/01/2020 16:30;305,4078297
15/01/2020 17:00;304,4398003
15/01/2020 17:30;310,3627136
15/01/2020 18:00;326,496364
15/01/2020 18:30;339,268685
15/01/2020 19:00;357,3512342
15/01/2020 19:30;373,872546
15/01/2020 20:00;396,2145271
15/01/2020 20:30;410,0749316
15/01/2020 21:00;418,4124435
15/01/2020 21:30;426,9525423
15/01/2020 22:00;438,8319119
15/01/2020 22:30;442,5226676
15/01/2020 23:00;445,6953542
15/01/2020 23:30;449,5457375
16/01/2020 0:00;450,2150895
16/01/2020 0:30;449,2701543
16/01/2020 1:00;450,1194
16/01/2020 1:30;449,2108527
16/01/2020 2:00;450,8750895
16/01/2020 2:30;452,2339594
16/01/2020 3:00;452,7558852
16/01/2020 3:30;452,2353055
16/01/2020 4:00;451,6948529
16/01/2020 4:30;446,6616217
