DateTime;Parking Vilanova Renfe plazas totales
10/01/2020 4:30;400,1390631
10/01/2020 5:00;395,798904
10/01/2020 5:30;389,6799541
10/01/2020 6:00;378,7506742
10/01/2020 6:30;348,9563605
10/01/2020 7:00;312,5682171
10/01/2020 7:30;287,710218
10/01/2020 8:00;263,1215932
10/01/2020 8:30;252,0296686
10/01/2020 9:00;244,9106507
10/01/2020 9:30;236,94991
10/01/2020 10:00;232,5615197
10/01/2020 10:30;228,549297
10/01/2020 11:00;231,6189317
10/01/2020 11:30;227,5447277
10/01/2020 12:00;223,0748084
10/01/2020 12:30;223,2336945
10/01/2020 13:00;224,5553968
10/01/2020 13:30;225,2500193
10/01/2020 14:00;228,1179942
10/01/2020 14:30;236,9739869
10/01/2020 15:00;248,60878
10/01/2020 15:30;270,4909694
10/01/2020 16:00;292,0590749
10/01/2020 16:30;310,383634
10/01/2020 17:00;310,362907
10/01/2020 17:30;317,6274622
10/01/2020 18:00;325,0209349
10/01/2020 18:30;330,6189523
10/01/2020 19:00;337,2125942
10/01/2020 19:30;347,5169812
10/01/2020 20:00;359,5169587
10/01/2020 20:30;364,0715572
10/01/2020 21:00;373,1607379
10/01/2020 21:30;382,5355359
10/01/2020 22:00;386,4737157
10/01/2020 22:30;391,3076303
10/01/2020 23:00;394,2918485
10/01/2020 23:30;397,762442
11/01/2020 0:00;401,3465962
11/01/2020 0:30;405,9868268
11/01/2020 1:00;406,4838369
11/01/2020 1:30;406,6351072
11/01/2020 2:00;407,3604
11/01/2020 2:30;407,3604
11/01/2020 3:00;407,3335875
11/01/2020 3:30;407,326
11/01/2020 4:00;407,1273962
11/01/2020 4:30;402,4510588
11/01/2020 5:00;401,1202169
11/01/2020 5:30;401,5818965
11/01/2020 6:00;397,7463168
11/01/2020 6:30;393,5940108
11/01/2020 7:00;390,7014962
11/01/2020 7:30;389,6960275
11/01/2020 8:00;384,5513915
11/01/2020 8:30;380,164042
11/01/2020 9:00;381,2568579
11/01/2020 9:30;376,5183559
11/01/2020 10:00;369,4788952
11/01/2020 10:30;364,2183171
11/01/2020 11:00;362,3422484
11/01/2020 11:30;364,5026239
11/01/2020 12:00;364,290341
11/01/2020 12:30;359,1588406
11/01/2020 13:00;359,2190112
11/01/2020 13:30;359,889867
11/01/2020 14:00;361,7127678
11/01/2020 14:30;366,1924441
11/01/2020 15:00;368,4865827
11/01/2020 15:30;372,0722136
11/01/2020 16:00;373,9937482
11/01/2020 16:30;367,4301865
11/01/2020 17:00;364,6164949
11/01/2020 17:30;362,632285
11/01/2020 18:00;364,6764867
11/01/2020 18:30;361,9491174
11/01/2020 19:00;362,6954414
11/01/2020 19:30;362,6207399
11/01/2020 20:00;365,4419841
11/01/2020 20:30;369,7715074
11/01/2020 21:00;374,5063088
11/01/2020 21:30;380,6816276
11/01/2020 22:00;385,8620696
11/01/2020 22:30;393,1430133
11/01/2020 23:00;394,1977366
11/01/2020 23:30;395,4187684
12/01/2020 0:00;397,4710776
12/01/2020 0:30;401,2495357
12/01/2020 1:00;403,6918019
12/01/2020 1:30;403,8908
12/01/2020 2:00;404,8204731
12/01/2020 2:30;404,8736
12/01/2020 3:00;404,8736
12/01/2020 3:30;404,9579859
12/01/2020 4:00;405,6165454
12/01/2020 4:30;402,7126988
12/01/2020 5:00;402,0951149
12/01/2020 5:30;402,0254725
12/01/2020 6:00;401,865608
12/01/2020 6:30;399,0424525
12/01/2020 7:00;398,1724204
12/01/2020 7:30;398,7861593
12/01/2020 8:00;399,1155566
12/01/2020 8:30;398,1341417
12/01/2020 9:00;398,4917926
12/01/2020 9:30;397,8442661
12/01/2020 10:00;397,175398
12/01/2020 10:30;396,7671214
12/01/2020 11:00;396,1063951
12/01/2020 11:30;395,316071
12/01/2020 12:00;394,5789684
12/01/2020 12:30;392,7253754
12/01/2020 13:00;392,8727165
12/01/2020 13:30;389,5984727
12/01/2020 14:00;385,5003604
12/01/2020 14:30;382,6370384
12/01/2020 15:00;383,1869653
12/01/2020 15:30;383,0748608
12/01/2020 16:00;383,6295086
12/01/2020 16:30;384,9170404
12/01/2020 17:00;385,4269273
12/01/2020 17:30;385,753666
12/01/2020 18:00;386,8568168
12/01/2020 18:30;386,354205
12/01/2020 19:00;386,9025359
12/01/2020 19:30;389,6139243
12/01/2020 20:00;392,5631402
12/01/2020 20:30;392,1065219
12/01/2020 21:00;393,1818745
12/01/2020 21:30;392,6700702
12/01/2020 22:00;393,2543276
12/01/2020 22:30;395,4179108
12/01/2020 23:00;397,198397
12/01/2020 23:30;402,3600473
13/01/2020 0:00;403,812
13/01/2020 0:30;403,6051365
13/01/2020 1:00;405,1387086
13/01/2020 1:30;407,4657801
13/01/2020 2:00;407,64
13/01/2020 2:30;407,64
13/01/2020 3:00;406,7119163
13/01/2020 3:30;406,6228
13/01/2020 4:00;405,7361311
